V,D,EPR,traffic,Phi,Phi_per_EP
13,4,2,uniform,260.0,10.0
13,4,2,nearst-neighbour,166.66666666666669,6.410256410256411
13,4,2,shift_1,130.0,5.0
13,4,2,shift_half,130.0,5.0
13,4,2,router-cluster,75.0,2.8846153846153846
13,4,2,random-permute,86.66666666666667,3.3333333333333335
31,6,3,uniform,930.0,10.0
31,6,3,nearst-neighbour,613.3333333333334,6.594982078853047
31,6,3,shift_1,465.0,5.0
31,6,3,shift_half,232.5,2.5
31,6,3,router-cluster,337.33333333333337,3.627240143369176
31,6,3,random-permute,232.5,2.5
57,8,4,uniform,2279.9999999999995,9.999999999999998
57,8,4,nearst-neighbour,1513.3333333333335,6.637426900584796
57,8,4,shift_1,1140.0,5.0
57,8,4,shift_half,570.0,2.5
57,8,4,router-cluster,665.0000000000001,2.916666666666667
57,8,4,random-permute,456.0,2.0
91,10,5,uniform,4549.999999999999,9.999999999999998
91,10,5,nearst-neighbour,3026.666666666667,6.652014652014652
91,10,5,shift_1,2275.0,5.0
91,10,5,shift_half,758.3333333333333,1.6666666666666665
91,10,5,router-cluster,1406.2222222222224,3.090598290598291
91,10,5,random-permute,910.0,2.0
133,12,6,uniform,7980.0,10.0
133,12,6,nearst-neighbour,5313.333333333331,6.6583124477861295
133,12,6,shift_1,3990.0,5.0
133,12,6,shift_half,1329.9999999999995,1.666666666666666
133,12,6,router-cluster,2188.9999999999995,2.7431077694235584
133,12,6,random-permute,1329.9999999999995,1.666666666666666
183,14,7,uniform,12810.0,10.0
183,14,7,nearst-neighbour,8533.333333333336,6.661462399167319
183,14,7,shift_1,6405.0,5.0
183,14,7,shift_half,1601.25,1.25
183,14,7,router-cluster,3472.1088435374136,2.7104674812938434
183,14,7,random-permute,2562.0,2.0
